date,steel_prod,steel_demand,steel_inv,auto_prod,auto_domestic_ship,auto_export_ship,construction_order_amt,appliance_prod_idx,appliance_ship_idx,usdkrw_avg,leading_idx,gov_bond_3y_avg,iron_ore_price,steel_capacity_idx,steel_operating_rate
17-Jan,764,753,220,298042,106910,178371,10981035,91.32,87.842,"1,182.24",90.1,1.64,80.82,101.106,113.167
17-Feb,737,744,218,336032,120621,200236,14722222,91.141,89.086,"1,143.36",90.5,1.67,88.95,101.106,111.061
17-Mar,759,752,221,406897,146920,249565,8422517,90.371,84.285,"1,133.95",90.9,1.71,87.2,101.206,110.361
17-Apr,750,762,207,382566,133527,239393,16246983,89.81,84.641,"1,133.57",91.3,1.68,70.4,101.206,110.933
17-May,707,713,198,356204,136355,216670,12810824,90.484,84.285,"1,124.65",91.7,1.7,61.63,101.206,111.202
17-Jun,700,674,221,382807,140964,237155,10974531,88.822,85.441,"1,131.62",92.1,1.67,57.86,101.106,111.454
17-Jul,721,704,237,371423,131512,224644,9898773,84.279,87.486,"1,133.13",92.4,1.74,66.74,101.106,110.653
17-Aug,699,700,233,274168,121560,171231,13607659,94.379,89.709,"1,131.40",92.8,1.78,74.59,101.106,112.872
17-Sep,698,691,239,356749,134284,225363,10781612,92.925,86.775,"1,132.93",92.9,1.79,69.24,101.106,112.331
17-Oct,621,627,231,280680,113378,174011,12718684,95.013,85.886,"1,129.48",93.2,2.03,61.05,101.106,114.672
17-Nov,592,604,217,382034,141073,234619,10372517,90.531,90.153,"1,102.82",93.4,2.15,63.41,101.106,109.846
17-Dec,627,597,243,287311,133098,178936,12849288,87.858,88.909,"1,085.95",93.5,2.1,71.74,101.106,110.646
18-Jan,705,706,234,322408,113064,189638,15159024,91.093,90.064,"1,066.54",93.7,2.19,75.78,100.603,110.727
18-Feb,675,663,245,276938,106035,163094,12926860,95.553,96.555,"1,080.70",94,2.28,77.65,100.603,109.786
18-Mar,712,710,243,363464,140079,221120,12265129,89.472,93.354,"1,071.21",94.2,2.27,71.32,101.005,106.879
18-Apr,732,728,244,354156,134819,216627,10237383,93.677,95.755,"1,068.05",94.3,2.19,66.33,101.005,109.132
18-May,749,759,232,351595,134301,213175,15163956,98.426,93.087,"1,077.05",94.6,2.25,66.63,101.005,110.125
18-Jun,680,717,193,336183,132413,211890,10293830,96.773,94.777,"1,095.96",94.7,2.18,66.86,100.503,109.478
18-Jul,768,728,232,306376,134355,193439,12237631,93.402,95.843,"1,123.05",94.9,2.1,67.05,100.503,108.678
18-Aug,775,736,269,296465,126880,169976,9747204,93.67,86.064,"1,120.96",94.8,2.02,68.02,100.503,108.404
18-Sep,700,736,230,291971,110537,180051,12112464,88.328,92.998,"1,120.19",94.9,1.95,68.8,100.402,107.038
18-Oct,717,725,221,381655,140068,232366,10500906,89.99,89.798,"1,132.78",94.9,2.01,72.02,100.402,109.602
18-Nov,668,668,219,390573,140381,237952,10796419,96.361,86.508,"1,127.55",94.9,1.94,72.3,100.402,109.282
18-Dec,703,623,296,356932,139414,220333,13295945,96.131,93.976,"1,122.65",94.9,1.83,68.9,100.402,105.145
19-Jan,759,758,295,354305,117959,209906,11002383,95.667,96.821,"1,121.72",95,1.81,75.2,100.603,107.836
19-Feb,675,687,281,257276,104732,164048,10719920,94.037,100.2,"1,123.66",95.2,1.8,87.59,100.603,106.431
19-Mar,694,707,266,345821,138849,208121,17611869,95.006,103.49,"1,131.88",95.6,1.79,87.07,100.603,107.53
